,class_0,class_1,class_2,frequency_0,frequency_1,frequency_2
0,379566,240,194,0.9988578947368421,0.0006315789473684211,0.0005105263157894736
1,379443,374,183,0.9985342105263157,0.0009842105263157895,0.00048157894736842105
2,379644,223,133,0.9990631578947369,0.0005868421052631579,0.00035
3,379589,260,151,0.9989184210526316,0.0006842105263157894,0.00039736842105263156
4,379601,268,131,0.99895,0.0007052631578947368,0.0003447368421052632
5,379485,330,185,0.9986447368421053,0.000868421052631579,0.0004868421052631579
6,380000,0,0,1.0,0.0,0.0
7,379530,298,172,0.9987631578947368,0.0007842105263157895,0.0004526315789473684
8,379656,245,99,0.9990947368421053,0.0006447368421052632,0.0002605263157894737
9,379610,202,188,0.9989736842105263,0.000531578947368421,0.0004947368421052632
10,379554,302,144,0.9988263157894737,0.0007947368421052631,0.00037894736842105265
11,379638,250,112,0.9990473684210527,0.0006578947368421052,0.00029473684210526316
12,379537,363,100,0.9987815789473684,0.0009552631578947368,0.0002631578947368421
13,379419,403,178,0.998471052631579,0.0010605263157894738,0.00046842105263157895
14,379539,370,91,0.9987868421052631,0.0009736842105263158,0.00023947368421052632
15,379534,370,96,0.9987736842105264,0.0009736842105263158,0.0002526315789473684
16,379547,316,137,0.9988078947368421,0.000831578947368421,0.0003605263157894737
17,379494,407,99,0.9986684210526315,0.0010710526315789474,0.0002605263157894737
18,379594,319,87,0.9989315789473684,0.0008394736842105263,0.00022894736842105263
19,379498,376,126,0.998678947368421,0.0009894736842105264,0.00033157894736842103
20,379428,421,151,0.9984947368421052,0.0011078947368421052,0.00039736842105263156
21,379562,258,180,0.9988473684210526,0.0006789473684210526,0.00047368421052631577
22,379598,265,137,0.9989421052631579,0.0006973684210526315,0.0003605263157894737
23,379582,316,102,0.9989,0.000831578947368421,0.00026842105263157897
24,379652,229,119,0.9990842105263158,0.0006026315789473684,0.0003131578947368421
25,379613,301,86,0.9989815789473684,0.0007921052631578948,0.0002263157894736842
26,379506,351,143,0.9987,0.0009236842105263158,0.0003763157894736842
27,379502,387,111,0.9986894736842106,0.001018421052631579,0.00029210526315789475
28,379531,342,127,0.9987657894736842,0.0009,0.0003342105263157895
29,379572,333,95,0.9988736842105264,0.0008763157894736842,0.00025
30,379350,422,228,0.9982894736842105,0.0011105263157894737,0.0006
31,379442,407,151,0.9985315789473684,0.0010710526315789474,0.00039736842105263156
32,379354,482,164,0.9983,0.001268421052631579,0.0004315789473684211
33,379608,268,124,0.9989684210526316,0.0007052631578947368,0.0003263157894736842
34,379477,386,137,0.9986236842105263,0.0010157894736842106,0.0003605263157894737
35,379690,235,75,0.9991842105263158,0.000618421052631579,0.00019736842105263157
36,379491,237,272,0.9986605263157895,0.0006236842105263158,0.0007157894736842105
37,379389,397,214,0.9983921052631579,0.0010447368421052632,0.0005631578947368421
38,379523,264,213,0.9987447368421053,0.0006947368421052632,0.0005605263157894737
39,379578,257,165,0.9988894736842105,0.0006763157894736842,0.0004342105263157895
